user_id,drink_id,weather,temperature,time_period,hour,dayofweek,occasion,context_hash,interaction_type,value
U372,D098,cloudy,17.3,afternoon,15,3,recovery,cloudy_17_afternoon_recovery,view,0.0
U240,D016,rainy,9.4,evening,20,2,business,rainy_9_evening_business,view,0.0
U187,D070,rainy,12.0,evening,18,0,social,rainy_12_evening_social,view,0.0
U148,D059,stormy,12.8,evening,22,2,casual,stormy_13_evening_casual,view,0.0
U451,D019,sunny,33.7,afternoon,14,3,celebration,sunny_34_afternoon_celebration,view,0.0
U308,D105,rainy,9.4,evening,20,2,business,rainy_9_evening_business,view,0.0
U039,D082,stormy,16.3,morning,11,5,pairing,stormy_16_morning_pairing,view,0.0
U476,D057,cloudy,10.4,afternoon,12,0,recovery,cloudy_10_afternoon_recovery,view,0.0
U415,D094,snowy,-1.7,morning,9,2,celebration,snowy_-2_morning_celebration,view,0.0
U252,D016,stormy,15.1,morning,10,6,social,stormy_15_morning_social,purchase,1.0
U500,D060,cloudy,18.7,morning,8,3,business,cloudy_19_morning_business,view,0.0
U304,D012,stormy,16.2,afternoon,17,0,casual,stormy_16_afternoon_casual,rate,3.5
U009,D105,snowy,-2.5,morning,7,2,casual,snowy_-2_morning_casual,view,0.0
U208,D003,sunny,33.7,afternoon,14,3,celebration,sunny_34_afternoon_celebration,view,0.0
U120,D033,sunny,30.7,afternoon,15,3,social,sunny_31_afternoon_social,view,0.0
U113,D072,stormy,12.8,evening,22,2,casual,stormy_13_evening_casual,view,0.0
U340,D099,snowy,0.6,afternoon,14,0,pairing,snowy_1_afternoon_pairing,view,0.0
U099,D025,sunny,21.6,afternoon,17,3,recovery,sunny_22_afternoon_recovery,view,0.0
U366,D082,rainy,7.0,afternoon,16,2,social,rainy_7_afternoon_social,view,0.0
U208,D061,sunny,22.3,morning,11,4,pairing,sunny_22_morning_pairing,view,0.0
U068,D033,rainy,10.1,morning,9,5,business,rainy_10_morning_business,view,0.0
U404,D120,stormy,14.5,evening,23,3,casual,stormy_15_evening_casual,view,0.0
U401,D033,snowy,0.6,afternoon,14,0,pairing,snowy_1_afternoon_pairing,view,0.0
U371,D086,cloudy,16.7,morning,8,4,business,cloudy_17_morning_business,view,0.0
U038,D102,cloudy,14.1,evening,23,6,business,cloudy_14_evening_business,view,0.0
U264,D027,cloudy,12.4,evening,18,6,pairing,cloudy_12_evening_pairing,view,0.0
U286,D097,cloudy,11.9,morning,7,1,social,cloudy_12_morning_social,view,0.0
U481,D069,snowy,0.6,afternoon,14,0,pairing,snowy_1_afternoon_pairing,view,0.0
U035,D064,cloudy,18.7,morning,8,3,business,cloudy_19_morning_business,view,0.0
U172,D092,cloudy,13.9,afternoon,12,5,casual,cloudy_14_afternoon_casual,rate,4.7
U099,D105,rainy,11.5,morning,10,0,casual,rainy_12_morning_casual,rate,2.7
U181,D095,snowy,-2.5,morning,7,2,casual,snowy_-2_morning_casual,purchase,1.0
U116,D063,sunny,21.0,morning,10,2,recovery,sunny_21_morning_recovery,view,0.0
U161,D067,snowy,-2.1,afternoon,16,2,casual,snowy_-2_afternoon_casual,view,0.0
U223,D054,snowy,-3.6,morning,8,5,social,snowy_-4_morning_social,view,0.0
U280,D114,cloudy,15.0,morning,10,0,pairing,cloudy_15_morning_pairing,view,0.0
U151,D066,cloudy,12.4,evening,18,6,pairing,cloudy_12_evening_pairing,view,0.0
U474,D017,stormy,16.3,morning,11,5,pairing,stormy_16_morning_pairing,view,0.0
U299,D118,snowy,0.6,afternoon,14,0,pairing,snowy_1_afternoon_pairing,view,0.0
U170,D119,stormy,15.1,morning,10,6,social,stormy_15_morning_social,view,0.0
U409,D024,rainy,12.4,evening,23,1,recovery,rainy_12_evening_recovery,view,0.0
U391,D057,stormy,12.8,evening,22,2,casual,stormy_13_evening_casual,view,0.0
U321,D008,rainy,8.4,evening,21,1,casual,rainy_8_evening_casual,view,0.0
U460,D115,cloudy,19.1,evening,19,6,pairing,cloudy_19_evening_pairing,view,0.0
U354,D066,cloudy,15.0,morning,10,0,pairing,cloudy_15_morning_pairing,view,0.0
U342,D051,cloudy,10.4,afternoon,12,0,recovery,cloudy_10_afternoon_recovery,view,0.0
U190,D022,cloudy,16.7,morning,8,4,business,cloudy_17_morning_business,view,0.0
U170,D070,snowy,-4.5,afternoon,13,4,social,snowy_-5_afternoon_social,view,0.0
U444,D101,rainy,9.4,evening,20,2,business,rainy_9_evening_business,view,0.0
U060,D108,sunny,26.0,afternoon,12,1,casual,sunny_26_afternoon_casual,view,0.0
U196,D006,cloudy,14.1,evening,23,6,business,cloudy_14_evening_business,view,0.0
U350,D047,snowy,-2.5,morning,7,2,casual,snowy_-2_morning_casual,view,0.0
U308,D016,rainy,12.4,evening,23,1,recovery,rainy_12_evening_recovery,rate,3.9
U147,D017,cloudy,19.5,morning,10,1,celebration,cloudy_19_morning_celebration,view,0.0
U439,D090,rainy,11.5,morning,10,0,casual,rainy_12_morning_casual,view,0.0
U318,D023,snowy,0.6,afternoon,14,1,social,snowy_1_afternoon_social,view,0.0
U129,D058,snowy,4.5,afternoon,16,4,social,snowy_5_afternoon_social,view,0.0
U096,D118,snowy,0.6,afternoon,14,0,pairing,snowy_1_afternoon_pairing,view,0.0
U237,D117,snowy,4.5,afternoon,16,4,social,snowy_5_afternoon_social,rate,4.0
U447,D069,cloudy,16.7,morning,8,4,business,cloudy_17_morning_business,view,0.0
U451,D076,stormy,15.1,morning,10,6,social,stormy_15_morning_social,view,0.0
U485,D086,sunny,21.6,afternoon,17,3,recovery,sunny_22_afternoon_recovery,view,0.0
U069,D047,cloudy,18.7,morning,8,3,business,cloudy_19_morning_business,view,0.0
U446,D116,stormy,16.2,afternoon,17,0,casual,stormy_16_afternoon_casual,view,0.0
U218,D090,snowy,0.6,afternoon,14,0,pairing,snowy_1_afternoon_pairing,view,0.0
U100,D033,cloudy,13.9,afternoon,12,5,casual,cloudy_14_afternoon_casual,view,0.0
U250,D010,stormy,16.2,afternoon,17,0,casual,stormy_16_afternoon_casual,view,0.0
U180,D095,rainy,13.9,evening,20,3,recovery,rainy_14_evening_recovery,view,0.0
U442,D096,snowy,4.5,afternoon,16,4,social,snowy_5_afternoon_social,view,0.0
U493,D004,rainy,12.0,evening,18,0,social,rainy_12_evening_social,view,0.0
U247,D002,cloudy,18.7,morning,8,3,business,cloudy_19_morning_business,view,0.0
U160,D091,sunny,33.7,afternoon,14,3,celebration,sunny_34_afternoon_celebration,view,0.0
U178,D035,rainy,9.4,evening,20,2,business,rainy_9_evening_business,view,0.0
U179,D043,rainy,11.5,morning,10,0,casual,rainy_12_morning_casual,view,0.0
U065,D033,stormy,16.3,morning,11,5,pairing,stormy_16_morning_pairing,rate,1.8
U397,D012,sunny,23.4,evening,18,0,pairing,sunny_23_evening_pairing,view,0.0
U253,D115,sunny,29.6,afternoon,16,0,recovery,sunny_30_afternoon_recovery,view,0.0
U337,D090,stormy,14.5,evening,23,3,casual,stormy_15_evening_casual,view,0.0
U458,D090,sunny,26.1,evening,22,1,recovery,sunny_26_evening_recovery,view,0.0
U391,D068,sunny,29.6,afternoon,16,0,recovery,sunny_30_afternoon_recovery,view,0.0
U413,D120,stormy,12.8,evening,22,2,casual,stormy_13_evening_casual,view,0.0
U249,D036,rainy,13.9,evening,20,3,recovery,rainy_14_evening_recovery,view,0.0
U408,D064,snowy,-2.5,morning,7,2,casual,snowy_-2_morning_casual,purchase,1.0
U496,D036,snowy,-2.1,afternoon,16,2,casual,snowy_-2_afternoon_casual,view,0.0
U096,D024,cloudy,19.1,evening,19,6,pairing,cloudy_19_evening_pairing,rate,4.4
U369,D055,rainy,12.4,evening,23,1,recovery,rainy_12_evening_recovery,view,0.0
U355,D105,cloudy,13.9,afternoon,12,5,casual,cloudy_14_afternoon_casual,rate,3.0
U368,D089,cloudy,16.7,morning,8,4,business,cloudy_17_morning_business,view,0.0
U019,D049,stormy,12.8,evening,22,2,casual,stormy_13_evening_casual,view,0.0
U233,D019,snowy,-3.2,morning,9,1,business,snowy_-3_morning_business,view,0.0
U284,D078,sunny,23.4,evening,18,0,pairing,sunny_23_evening_pairing,rate,3.3
U367,D016,stormy,16.2,afternoon,17,0,casual,stormy_16_afternoon_casual,view,0.0
U025,D052,sunny,21.0,morning,10,2,recovery,sunny_21_morning_recovery,view,0.0
U151,D016,snowy,-4.2,evening,22,6,business,snowy_-4_evening_business,view,0.0
U042,D058,snowy,-4.2,evening,22,6,business,snowy_-4_evening_business,purchase,1.0
U122,D005,snowy,-2.5,morning,7,2,casual,snowy_-2_morning_casual,view,0.0
U235,D075,snowy,-2.1,afternoon,16,2,casual,snowy_-2_afternoon_casual,rate,3.8
U442,D108,stormy,10.7,afternoon,12,0,casual,stormy_11_afternoon_casual,view,0.0
U007,D046,rainy,12.4,evening,23,1,recovery,rainy_12_evening_recovery,view,0.0
U393,D050,cloudy,12.4,evening,18,6,pairing,cloudy_12_evening_pairing,view,0.0
U005,D029,rainy,11.5,morning,10,0,casual,rainy_12_morning_casual,view,0.0
U136,D112,cloudy,14.1,evening,23,6,business,cloudy_14_evening_business,view,0.0
U500,D017,cloudy,14.6,morning,8,4,pairing,cloudy_15_morning_pairing,purchase,1.0
U132,D036,cloudy,17.3,afternoon,15,3,recovery,cloudy_17_afternoon_recovery,view,0.0
U275,D061,sunny,26.0,afternoon,12,1,casual,sunny_26_afternoon_casual,view,0.0
U091,D074,stormy,15.1,morning,10,6,social,stormy_15_morning_social,view,0.0
U126,D067,cloudy,14.1,evening,23,6,business,cloudy_14_evening_business,view,0.0
U220,D058,sunny,33.7,afternoon,14,3,celebration,sunny_34_afternoon_celebration,view,0.0
U317,D105,snowy,-4.2,evening,22,6,business,snowy_-4_evening_business,view,0.0
U461,D092,cloudy,18.7,morning,8,3,business,cloudy_19_morning_business,view,0.0
U417,D038,cloudy,17.3,afternoon,15,3,recovery,cloudy_17_afternoon_recovery,view,0.0
U173,D032,cloudy,14.1,evening,23,6,business,cloudy_14_evening_business,view,0.0
U149,D080,sunny,21.0,morning,10,2,recovery,sunny_21_morning_recovery,purchase,1.0
U229,D036,snowy,-2.5,morning,7,2,casual,snowy_-2_morning_casual,view,0.0
U441,D018,snowy,0.3,morning,7,0,business,snowy_0_morning_business,view,0.0
U014,D015,sunny,23.4,evening,18,0,pairing,sunny_23_evening_pairing,purchase,1.0
U054,D118,snowy,-3.6,morning,8,5,social,snowy_-4_morning_social,rate,1.2
U012,D074,cloudy,15.0,morning,10,0,pairing,cloudy_15_morning_pairing,view,0.0
U358,D076,sunny,30.7,afternoon,15,3,social,sunny_31_afternoon_social,view,0.0
U008,D092,stormy,12.8,evening,22,2,casual,stormy_13_evening_casual,view,0.0
U186,D060,sunny,29.6,afternoon,16,0,recovery,sunny_30_afternoon_recovery,view,0.0
U357,D041,stormy,12.8,evening,22,2,casual,stormy_13_evening_casual,purchase,1.0
U447,D017,snowy,0.6,afternoon,14,1,social,snowy_1_afternoon_social,view,0.0
U212,D077,cloudy,11.9,morning,7,1,social,cloudy_12_morning_social,view,0.0
U397,D046,snowy,-2.5,morning,7,2,casual,snowy_-2_morning_casual,view,0.0
U082,D115,stormy,16.2,afternoon,17,0,casual,stormy_16_afternoon_casual,view,0.0
U450,D010,cloudy,13.9,afternoon,12,5,casual,cloudy_14_afternoon_casual,view,0.0
U365,D005,rainy,9.4,evening,20,2,business,rainy_9_evening_business,view,0.0
U146,D096,snowy,0.3,morning,7,0,business,snowy_0_morning_business,view,0.0
U341,D026,cloudy,10.4,afternoon,12,0,recovery,cloudy_10_afternoon_recovery,rate,4.4
U461,D033,sunny,26.1,evening,22,1,recovery,sunny_26_evening_recovery,view,0.0
U385,D021,snowy,0.6,afternoon,14,0,pairing,snowy_1_afternoon_pairing,view,0.0
U476,D081,stormy,16.2,afternoon,17,0,casual,stormy_16_afternoon_casual,purchase,1.0
U358,D003,cloudy,19.1,evening,19,6,pairing,cloudy_19_evening_pairing,view,0.0
U165,D074,rainy,13.9,evening,20,3,recovery,rainy_14_evening_recovery,view,0.0
U085,D078,snowy,0.6,afternoon,14,1,social,snowy_1_afternoon_social,view,0.0
U051,D045,rainy,12.4,evening,23,1,recovery,rainy_12_evening_recovery,view,0.0
U449,D113,stormy,16.3,morning,11,5,pairing,stormy_16_morning_pairing,view,0.0
U348,D095,stormy,14.5,evening,23,3,casual,stormy_15_evening_casual,view,0.0
U250,D034,snowy,-3.6,morning,8,5,social,snowy_-4_morning_social,view,0.0
U268,D065,sunny,26.0,afternoon,12,1,casual,sunny_26_afternoon_casual,view,0.0
U222,D057,stormy,10.7,afternoon,12,0,casual,stormy_11_afternoon_casual,view,0.0
U303,D023,snowy,-4.5,afternoon,13,4,social,snowy_-5_afternoon_social,view,0.0
U398,D066,stormy,18.3,morning,8,5,casual,stormy_18_morning_casual,view,0.0
U422,D064,sunny,26.1,evening,22,1,recovery,sunny_26_evening_recovery,view,0.0
U098,D082,cloudy,13.9,afternoon,12,5,casual,cloudy_14_afternoon_casual,view,0.0
U435,D063,sunny,26.1,evening,22,1,recovery,sunny_26_evening_recovery,view,0.0
U166,D097,sunny,30.7,afternoon,15,3,social,sunny_31_afternoon_social,rate,2.2
U106,D051,stormy,10.7,afternoon,12,0,casual,stormy_11_afternoon_casual,rate,1.6
U184,D017,rainy,13.9,evening,20,3,recovery,rainy_14_evening_recovery,view,0.0
U340,D088,stormy,16.2,afternoon,17,0,casual,stormy_16_afternoon_casual,purchase,1.0
U053,D066,rainy,12.4,evening,23,1,recovery,rainy_12_evening_recovery,view,0.0
U043,D112,stormy,18.3,morning,8,5,casual,stormy_18_morning_casual,view,0.0
U249,D023,rainy,12.0,evening,18,0,social,rainy_12_evening_social,view,0.0
U374,D016,stormy,14.5,evening,23,3,casual,stormy_15_evening_casual,view,0.0
U388,D056,cloudy,10.4,afternoon,12,0,recovery,cloudy_10_afternoon_recovery,view,0.0
U195,D027,sunny,21.6,afternoon,17,3,recovery,sunny_22_afternoon_recovery,rate,3.4
U051,D019,sunny,21.0,morning,10,2,recovery,sunny_21_morning_recovery,view,0.0
U092,D042,cloudy,16.7,morning,8,4,business,cloudy_17_morning_business,view,0.0
U001,D005,sunny,22.3,morning,11,4,pairing,sunny_22_morning_pairing,view,0.0
U046,D034,cloudy,18.7,morning,8,3,business,cloudy_19_morning_business,view,0.0
U301,D027,snowy,0.6,afternoon,14,1,social,snowy_1_afternoon_social,view,0.0
U047,D086,snowy,0.3,morning,7,0,business,snowy_0_morning_business,view,0.0
U107,D063,snowy,0.6,afternoon,14,0,pairing,snowy_1_afternoon_pairing,view,0.0
U026,D036,snowy,4.5,afternoon,16,4,social,snowy_5_afternoon_social,view,0.0
U355,D052,snowy,-4.5,afternoon,13,4,social,snowy_-5_afternoon_social,view,0.0
U056,D086,rainy,10.1,morning,9,5,business,rainy_10_morning_business,view,0.0
U471,D078,sunny,30.7,afternoon,15,3,social,sunny_31_afternoon_social,view,0.0
U154,D014,cloudy,14.6,morning,8,4,pairing,cloudy_15_morning_pairing,view,0.0
U407,D110,cloudy,19.7,afternoon,12,3,casual,cloudy_20_afternoon_casual,view,0.0
U493,D018,cloudy,18.2,afternoon,17,1,business,cloudy_18_afternoon_business,view,0.0
U015,D064,cloudy,10.4,afternoon,12,0,recovery,cloudy_10_afternoon_recovery,view,0.0
U028,D074,snowy,-4.2,evening,22,6,business,snowy_-4_evening_business,view,0.0
U231,D086,stormy,15.1,morning,10,6,social,stormy_15_morning_social,view,0.0
U025,D017,rainy,12.4,evening,23,1,recovery,rainy_12_evening_recovery,view,0.0
U068,D010,snowy,-3.6,morning,8,5,social,snowy_-4_morning_social,view,0.0
U146,D111,stormy,12.8,evening,22,2,casual,stormy_13_evening_casual,view,0.0
U034,D111,stormy,14.5,evening,23,3,casual,stormy_15_evening_casual,view,0.0
U236,D083,snowy,-1.7,morning,9,2,celebration,snowy_-2_morning_celebration,view,0.0
U006,D052,stormy,15.1,morning,10,6,social,stormy_15_morning_social,view,0.0
U443,D056,cloudy,14.1,evening,23,6,business,cloudy_14_evening_business,view,0.0
U377,D033,cloudy,16.7,morning,8,4,business,cloudy_17_morning_business,view,0.0
U070,D119,snowy,0.6,afternoon,14,0,pairing,snowy_1_afternoon_pairing,view,0.0
U331,D062,cloudy,13.9,afternoon,12,5,casual,cloudy_14_afternoon_casual,view,0.0
U311,D009,snowy,-3.6,morning,8,5,social,snowy_-4_morning_social,view,0.0
U040,D101,stormy,12.8,evening,22,2,casual,stormy_13_evening_casual,purchase,1.0
U006,D066,sunny,33.7,afternoon,14,3,celebration,sunny_34_afternoon_celebration,rate,4.5
U134,D118,cloudy,18.7,morning,8,3,business,cloudy_19_morning_business,view,0.0
U486,D051,rainy,7.0,afternoon,16,2,social,rainy_7_afternoon_social,view,0.0
U392,D026,cloudy,14.1,evening,23,6,business,cloudy_14_evening_business,view,0.0
U326,D026,rainy,14.4,morning,11,1,recovery,rainy_14_morning_recovery,view,0.0
U225,D020,cloudy,18.7,morning,8,3,business,cloudy_19_morning_business,view,0.0
U001,D090,rainy,10.1,morning,9,5,business,rainy_10_morning_business,view,0.0
U293,D011,stormy,12.8,evening,22,2,casual,stormy_13_evening_casual,view,0.0
U259,D033,cloudy,17.3,afternoon,15,3,recovery,cloudy_17_afternoon_recovery,view,0.0
U010,D005,cloudy,19.1,evening,19,6,pairing,cloudy_19_evening_pairing,view,0.0
U386,D013,stormy,16.3,morning,11,5,pairing,stormy_16_morning_pairing,view,0.0
U321,D063,rainy,11.5,morning,10,0,casual,rainy_12_morning_casual,view,0.0
U265,D075,snowy,-4.5,afternoon,13,4,social,snowy_-5_afternoon_social,view,0.0
U419,D094,sunny,23.4,evening,18,0,pairing,sunny_23_evening_pairing,rate,4.3
U236,D050,rainy,10.1,morning,9,5,business,rainy_10_morning_business,rate,5.0
U418,D076,snowy,-2.5,morning,7,2,casual,snowy_-2_morning_casual,view,0.0
U296,D064,cloudy,16.7,morning,8,4,business,cloudy_17_morning_business,view,0.0
U349,D072,stormy,18.3,morning,8,5,casual,stormy_18_morning_casual,view,0.0
U270,D060,cloudy,13.9,afternoon,12,5,casual,cloudy_14_afternoon_casual,view,0.0
U165,D005,cloudy,19.5,morning,10,1,celebration,cloudy_19_morning_celebration,view,0.0
U410,D062,rainy,14.4,morning,11,1,recovery,rainy_14_morning_recovery,view,0.0
U042,D089,snowy,-2.1,afternoon,16,2,casual,snowy_-2_afternoon_casual,view,0.0
U295,D104,rainy,10.1,morning,9,5,business,rainy_10_morning_business,view,0.0
U125,D038,rainy,9.4,evening,20,2,business,rainy_9_evening_business,view,0.0
U143,D097,cloudy,10.4,afternoon,12,0,recovery,cloudy_10_afternoon_recovery,view,0.0
U495,D119,rainy,7.0,afternoon,16,2,social,rainy_7_afternoon_social,view,0.0
U104,D104,snowy,-4.2,evening,22,6,business,snowy_-4_evening_business,view,0.0
U134,D067,cloudy,14.6,morning,8,4,pairing,cloudy_15_morning_pairing,view,0.0
U042,D064,snowy,-4.5,afternoon,13,4,social,snowy_-5_afternoon_social,view,0.0
U289,D116,cloudy,13.9,afternoon,12,5,casual,cloudy_14_afternoon_casual,view,0.0
U420,D029,cloudy,18.2,afternoon,17,1,business,cloudy_18_afternoon_business,view,0.0
U485,D027,rainy,9.4,evening,20,2,business,rainy_9_evening_business,view,0.0
U086,D066,rainy,13.9,evening,20,3,recovery,rainy_14_evening_recovery,view,0.0
U330,D097,cloudy,18.2,afternoon,17,1,business,cloudy_18_afternoon_business,view,0.0
U303,D100,cloudy,14.1,evening,23,6,business,cloudy_14_evening_business,view,0.0
U184,D015,sunny,21.6,afternoon,17,3,recovery,sunny_22_afternoon_recovery,view,0.0
U157,D047,rainy,14.4,morning,11,1,recovery,rainy_14_morning_recovery,view,0.0
U130,D027,sunny,23.4,evening,18,0,pairing,sunny_23_evening_pairing,view,0.0
U420,D036,stormy,15.1,morning,10,6,social,stormy_15_morning_social,view,0.0
U069,D020,stormy,18.3,morning,8,5,casual,stormy_18_morning_casual,rate,2.4
U134,D072,cloudy,19.1,evening,19,6,pairing,cloudy_19_evening_pairing,view,0.0
U302,D107,snowy,-3.2,morning,9,1,business,snowy_-3_morning_business,rate,1.6
U210,D089,rainy,9.4,evening,20,2,business,rainy_9_evening_business,view,0.0
U316,D043,snowy,-3.2,morning,9,1,business,snowy_-3_morning_business,view,0.0
U496,D068,stormy,16.2,afternoon,17,0,casual,stormy_16_afternoon_casual,rate,3.8
U106,D113,cloudy,11.9,morning,7,1,social,cloudy_12_morning_social,view,0.0
U393,D118,sunny,21.6,afternoon,17,3,recovery,sunny_22_afternoon_recovery,view,0.0
U297,D086,stormy,18.3,morning,8,5,casual,stormy_18_morning_casual,view,0.0
U302,D101,sunny,21.0,morning,10,2,recovery,sunny_21_morning_recovery,view,0.0
U420,D054,cloudy,19.1,evening,19,6,pairing,cloudy_19_evening_pairing,rate,4.5
U055,D115,stormy,16.3,morning,11,5,pairing,stormy_16_morning_pairing,view,0.0
U431,D073,snowy,0.6,afternoon,14,1,social,snowy_1_afternoon_social,view,0.0
U313,D117,stormy,15.1,morning,10,6,social,stormy_15_morning_social,view,0.0
U063,D116,cloudy,10.4,afternoon,12,0,recovery,cloudy_10_afternoon_recovery,view,0.0
U294,D002,cloudy,14.6,morning,8,4,pairing,cloudy_15_morning_pairing,view,0.0
U418,D091,stormy,10.7,afternoon,12,0,casual,stormy_11_afternoon_casual,view,0.0
U443,D108,sunny,30.7,afternoon,15,3,social,sunny_31_afternoon_social,view,0.0
U180,D070,sunny,30.7,afternoon,15,3,social,sunny_31_afternoon_social,view,0.0
U285,D063,cloudy,19.7,afternoon,12,3,casual,cloudy_20_afternoon_casual,view,0.0
U156,D114,sunny,21.0,morning,10,2,recovery,sunny_21_morning_recovery,view,0.0
U337,D084,sunny,22.3,morning,11,4,pairing,sunny_22_morning_pairing,view,0.0
U118,D086,cloudy,11.9,morning,7,1,social,cloudy_12_morning_social,view,0.0
U360,D049,cloudy,14.6,morning,8,4,pairing,cloudy_15_morning_pairing,view,0.0
U141,D094,cloudy,19.1,evening,19,6,pairing,cloudy_19_evening_pairing,view,0.0
U440,D083,cloudy,15.0,morning,10,0,pairing,cloudy_15_morning_pairing,view,0.0
U305,D045,sunny,21.6,afternoon,17,3,recovery,sunny_22_afternoon_recovery,view,0.0
U424,D019,snowy,-2.1,afternoon,16,2,casual,snowy_-2_afternoon_casual,view,0.0
U371,D047,sunny,29.6,afternoon,16,0,recovery,sunny_30_afternoon_recovery,view,0.0
