drink_id,name,type,style,abv,bitterness,sweetness,carbonation,strength,seasonality,origin
D105,Whiskey sour 105,cocktail,whiskey_sour,33.2,40.3,28.9,0.2,0.83,any,usa
D106,Gin and tonic 106,cocktail,gin_and_tonic,38.9,34.2,21.4,2.0,0.97,summer,canada
D107,Negroni 107,cocktail,negroni,21.7,10.9,34.9,0.5,0.54,fall,mexico
D108,Margarita 108,cocktail,margarita,22.7,42.7,58.4,0.1,0.57,fall,japan
D109,Daiquiri 109,cocktail,daiquiri,29.7,29.2,31.0,0.8,0.74,summer,germany
D110,Manhattan 110,cocktail,manhattan,35.1,46.1,40.9,1.0,0.88,summer,germany
D111,Sparkling water 111,non-alcoholic,sparkling_water,0.0,19.1,54.4,1.3,0.39,any,japan
D112,Juice 112,non-alcoholic,juice,0.0,15.4,72.7,0.4,0.35,any,belgium
D113,Kombucha 113,non-alcoholic,kombucha,0.0,20.9,73.7,2.4,0.44,any,usa
D114,Energy drink 114,non-alcoholic,energy_drink,0.0,7.7,46.7,1.0,0.3,any,netherlands
D115,Lemonade 115,non-alcoholic,lemonade,0.0,6.3,56.4,0.3,0.31,any,spain
D116,Iced tea 116,non-alcoholic,iced_tea,0.0,3.8,22.2,0.1,0.36,any,italy
D117,Smoothie 117,non-alcoholic,smoothie,0.0,20.9,42.9,0.9,0.31,any,germany
D118,Mocktail 118,non-alcoholic,mocktail,0.0,18.1,27.9,0.8,0.24,any,australia
D119,Sparkling water 119,non-alcoholic,sparkling_water,0.0,5.3,17.1,1.4,0.28,any,australia
D120,Juice 120,non-alcoholic,juice,0.0,26.8,20.3,0.3,0.23,any,australia
