user_id,skill_id,proficiency_level,experience_years,last_updated
38,80,2,3,2019-10-08 11:19:14.594672
24,62,5,4,2019-10-09 11:19:14.594672
19,48,1,16,2019-10-10 11:19:14.594672
1,75,3,1,2019-10-11 11:19:14.594672
38,111,1,4,2019-10-12 11:19:14.594672
5,174,5,3,2019-10-13 11:19:14.594672
16,108,3,3,2019-10-14 11:19:14.594672
24,182,3,5,2019-10-15 11:19:14.594672
27,191,5,19,2019-10-16 11:19:14.594672
1,64,5,12,2019-10-17 11:19:14.594672
34,80,2,4,2019-10-18 11:19:14.594672
36,194,5,6,2019-10-19 11:19:14.594672
4,14,4,19,2019-10-20 11:19:14.594672
0,99,5,0,2019-10-21 11:19:14.594672
39,31,4,13,2019-10-22 11:19:14.594672
11,95,5,3,2019-10-23 11:19:14.594672
35,127,2,16,2019-10-24 11:19:14.594672
44,195,4,13,2019-10-25 11:19:14.594672
22,145,1,15,2019-10-26 11:19:14.594672
46,112,4,13,2019-10-27 11:19:14.594672
30,82,2,15,2019-10-28 11:19:14.594672
10,42,4,19,2019-10-29 11:19:14.594672
9,115,5,7,2019-10-30 11:19:14.594672
2,162,5,2,2019-10-31 11:19:14.594672
13,77,2,18,2019-11-01 11:19:14.594672
15,57,3,0,2019-11-02 11:19:14.594672
9,32,5,1,2019-11-03 11:19:14.594672
28,13,1,14,2019-11-04 11:19:14.594672
9,161,2,9,2019-11-05 11:19:14.594672
11,188,4,17,2019-11-06 11:19:14.594672
29,131,4,13,2019-11-07 11:19:14.594672
40,58,1,16,2019-11-08 11:19:14.594672
0,156,5,12,2019-11-09 11:19:14.594672
4,82,2,0,2019-11-10 11:19:14.594672
19,133,1,4,2019-11-11 11:19:14.594672
7,120,5,12,2019-11-12 11:19:14.594672
42,176,2,13,2019-11-13 11:19:14.594672
11,167,4,2,2019-11-14 11:19:14.594672
0,82,2,14,2019-11-15 11:19:14.594672
19,192,3,18,2019-11-16 11:19:14.594672
27,196,2,16,2019-11-17 11:19:14.594672
42,26,3,2,2019-11-18 11:19:14.594672
36,79,2,15,2019-11-19 11:19:14.594672
46,133,3,13,2019-11-20 11:19:14.594672
36,12,4,11,2019-11-21 11:19:14.594672
11,63,5,11,2019-11-22 11:19:14.594672
36,189,3,10,2019-11-23 11:19:14.594672
48,146,3,16,2019-11-24 11:19:14.594672
48,79,4,7,2019-11-25 11:19:14.594672
43,122,3,16,2019-11-26 11:19:14.594672
27,42,1,19,2019-11-27 11:19:14.594672
46,88,4,10,2019-11-28 11:19:14.594672
14,147,1,1,2019-11-29 11:19:14.594672
5,94,4,9,2019-11-30 11:19:14.594672
43,195,3,9,2019-12-01 11:19:14.594672
19,171,1,10,2019-12-02 11:19:14.594672
49,150,3,5,2019-12-03 11:19:14.594672
13,1,4,3,2019-12-04 11:19:14.594672
1,119,3,11,2019-12-05 11:19:14.594672
8,21,1,10,2019-12-06 11:19:14.594672
36,114,1,12,2019-12-07 11:19:14.594672
19,56,3,4,2019-12-08 11:19:14.594672
25,71,2,5,2019-12-09 11:19:14.594672
28,6,4,0,2019-12-10 11:19:14.594672
0,183,4,5,2019-12-11 11:19:14.594672
34,118,3,17,2019-12-12 11:19:14.594672
5,194,2,8,2019-12-13 11:19:14.594672
36,113,1,14,2019-12-14 11:19:14.594672
4,15,5,7,2019-12-15 11:19:14.594672
32,82,5,18,2019-12-16 11:19:14.594672
48,178,3,15,2019-12-17 11:19:14.594672
13,71,2,5,2019-12-18 11:19:14.594672
11,123,2,5,2019-12-19 11:19:14.594672
41,112,4,2,2019-12-20 11:19:14.594672
19,11,1,9,2019-12-21 11:19:14.594672
49,125,2,0,2019-12-22 11:19:14.594672
23,52,5,13,2019-12-23 11:19:14.594672
42,74,1,3,2019-12-24 11:19:14.594672
33,132,1,11,2019-12-25 11:19:14.594672
24,26,3,5,2019-12-26 11:19:14.594672
49,139,2,10,2019-12-27 11:19:14.594672
28,144,3,11,2019-12-28 11:19:14.594672
38,133,2,9,2019-12-29 11:19:14.594672
30,96,4,17,2019-12-30 11:19:14.594672
46,4,3,6,2019-12-31 11:19:14.594672
42,56,3,6,2020-01-01 11:19:14.594672
49,155,5,10,2020-01-02 11:19:14.594672
22,77,3,3,2020-01-03 11:19:14.594672
43,68,2,19,2020-01-04 11:19:14.594672
37,117,5,0,2020-01-05 11:19:14.594672
19,119,3,12,2020-01-06 11:19:14.594672
22,58,3,17,2020-01-07 11:19:14.594672
44,32,4,8,2020-01-08 11:19:14.594672
15,61,3,8,2020-01-09 11:19:14.594672
49,49,1,8,2020-01-10 11:19:14.594672
41,111,5,9,2020-01-11 11:19:14.594672
7,18,1,1,2020-01-12 11:19:14.594672
49,196,5,5,2020-01-13 11:19:14.594672
20,122,4,14,2020-01-14 11:19:14.594672
0,193,3,2,2020-01-15 11:19:14.594672
7,46,3,10,2020-01-16 11:19:14.594672
28,166,3,5,2020-01-17 11:19:14.594672
31,195,5,2,2020-01-18 11:19:14.594672
37,32,3,10,2020-01-19 11:19:14.594672
4,140,1,14,2020-01-20 11:19:14.594672
46,83,3,12,2020-01-21 11:19:14.594672
21,181,4,19,2020-01-22 11:19:14.594672
46,134,1,9,2020-01-23 11:19:14.594672
33,78,3,5,2020-01-24 11:19:14.594672
0,13,3,14,2020-01-25 11:19:14.594672
25,146,2,17,2020-01-26 11:19:14.594672
42,127,5,17,2020-01-27 11:19:14.594672
9,53,1,6,2020-01-28 11:19:14.594672
29,147,2,14,2020-01-29 11:19:14.594672
49,28,4,17,2020-01-30 11:19:14.594672
17,23,5,17,2020-01-31 11:19:14.594672
16,81,1,19,2020-02-01 11:19:14.594672
25,62,3,8,2020-02-02 11:19:14.594672
7,104,1,1,2020-02-03 11:19:14.594672
46,56,3,7,2020-02-04 11:19:14.594672
39,135,5,19,2020-02-05 11:19:14.594672
48,61,3,1,2020-02-06 11:19:14.594672
11,156,4,10,2020-02-07 11:19:14.594672
26,16,3,6,2020-02-08 11:19:14.594672
7,65,4,5,2020-02-09 11:19:14.594672
24,5,5,9,2020-02-10 11:19:14.594672
45,57,5,4,2020-02-11 11:19:14.594672
3,68,1,10,2020-02-12 11:19:14.594672
32,155,4,0,2020-02-13 11:19:14.594672
0,61,4,1,2020-02-14 11:19:14.594672
18,168,2,0,2020-02-15 11:19:14.594672
30,196,2,18,2020-02-16 11:19:14.594672
15,81,2,1,2020-02-17 11:19:14.594672
13,168,3,19,2020-02-18 11:19:14.594672
47,176,2,3,2020-02-19 11:19:14.594672
4,176,4,11,2020-02-20 11:19:14.594672
40,70,3,19,2020-02-21 11:19:14.594672
25,130,5,17,2020-02-22 11:19:14.594672
27,9,1,0,2020-02-23 11:19:14.594672
1,97,2,0,2020-02-24 11:19:14.594672
49,88,5,13,2020-02-25 11:19:14.594672
5,34,4,3,2020-02-26 11:19:14.594672
8,1,1,4,2020-02-27 11:19:14.594672
32,123,5,10,2020-02-28 11:19:14.594672
40,23,1,12,2020-02-29 11:19:14.594672
24,73,2,15,2020-03-01 11:19:14.594672
47,165,4,12,2020-03-02 11:19:14.594672
12,21,1,1,2020-03-03 11:19:14.594672
8,153,5,15,2020-03-04 11:19:14.594672
12,170,2,5,2020-03-05 11:19:14.594672
30,182,2,13,2020-03-06 11:19:14.594672
40,38,5,0,2020-03-07 11:19:14.594672
10,156,5,16,2020-03-08 11:19:14.594672
3,19,1,10,2020-03-09 11:19:14.594672
33,40,3,18,2020-03-10 11:19:14.594672
37,181,2,2,2020-03-11 11:19:14.594672
45,147,1,10,2020-03-12 11:19:14.594672
3,107,5,4,2020-03-13 11:19:14.594672
37,146,1,16,2020-03-14 11:19:14.594672
18,83,5,6,2020-03-15 11:19:14.594672
5,110,4,9,2020-03-16 11:19:14.594672
33,65,5,10,2020-03-17 11:19:14.594672
17,157,5,2,2020-03-18 11:19:14.594672
12,52,5,19,2020-03-19 11:19:14.594672
40,33,3,9,2020-03-20 11:19:14.594672
22,149,5,9,2020-03-21 11:19:14.594672
18,66,2,13,2020-03-22 11:19:14.594672
44,133,2,11,2020-03-23 11:19:14.594672
10,26,1,14,2020-03-24 11:19:14.594672
0,9,3,9,2020-03-25 11:19:14.594672
23,72,1,9,2020-03-26 11:19:14.594672
6,95,2,18,2020-03-27 11:19:14.594672
24,47,2,0,2020-03-28 11:19:14.594672
20,69,4,9,2020-03-29 11:19:14.594672
14,186,5,1,2020-03-30 11:19:14.594672
0,99,2,16,2020-03-31 11:19:14.594672
11,58,1,6,2020-04-01 11:19:14.594672
6,1,1,6,2020-04-02 11:19:14.594672
14,156,5,19,2020-04-03 11:19:14.594672
20,195,5,8,2020-04-04 11:19:14.594672
18,64,4,1,2020-04-05 11:19:14.594672
28,82,3,13,2020-04-06 11:19:14.594672
24,153,1,16,2020-04-07 11:19:14.594672
32,9,5,0,2020-04-08 11:19:14.594672
48,52,1,8,2020-04-09 11:19:14.594672
31,78,5,19,2020-04-10 11:19:14.594672
48,58,2,18,2020-04-11 11:19:14.594672
34,149,1,3,2020-04-12 11:19:14.594672
43,178,2,7,2020-04-13 11:19:14.594672
37,47,1,12,2020-04-14 11:19:14.594672
25,148,3,3,2020-04-15 11:19:14.594672
10,122,4,8,2020-04-16 11:19:14.594672
34,21,2,8,2020-04-17 11:19:14.594672
7,99,5,17,2020-04-18 11:19:14.594672
45,97,3,11,2020-04-19 11:19:14.594672
13,157,1,9,2020-04-20 11:19:14.594672
9,24,2,10,2020-04-21 11:19:14.594672
1,27,1,6,2020-04-22 11:19:14.594672
45,192,1,8,2020-04-23 11:19:14.594672
8,112,1,5,2020-04-24 11:19:14.594672
2,44,4,18,2020-04-25 11:19:14.594672
20,67,4,15,2020-04-26 11:19:14.594672
25,6,5,14,2020-04-27 11:19:14.594672
7,48,2,6,2020-04-28 11:19:14.594672
47,136,3,15,2020-04-29 11:19:14.594672
1,163,3,4,2020-04-30 11:19:14.594672
5,82,3,15,2020-05-01 11:19:14.594672
27,128,1,0,2020-05-02 11:19:14.594672
28,137,4,18,2020-05-03 11:19:14.594672
25,163,2,4,2020-05-04 11:19:14.594672
24,72,1,6,2020-05-05 11:19:14.594672
11,45,4,18,2020-05-06 11:19:14.594672
4,105,4,4,2020-05-07 11:19:14.594672
33,159,2,16,2020-05-08 11:19:14.594672
47,31,2,7,2020-05-09 11:19:14.594672
36,5,2,0,2020-05-10 11:19:14.594672
14,175,1,1,2020-05-11 11:19:14.594672
43,165,5,14,2020-05-12 11:19:14.594672
35,144,2,19,2020-05-13 11:19:14.594672
14,73,5,17,2020-05-14 11:19:14.594672
42,113,1,10,2020-05-15 11:19:14.594672
47,26,5,9,2020-05-16 11:19:14.594672
22,53,3,3,2020-05-17 11:19:14.594672
5,177,5,4,2020-05-18 11:19:14.594672
45,162,2,3,2020-05-19 11:19:14.594672
49,84,1,12,2020-05-20 11:19:14.594672
43,126,2,12,2020-05-21 11:19:14.594672
42,152,3,17,2020-05-22 11:19:14.594672
44,155,2,1,2020-05-23 11:19:14.594672
20,110,2,15,2020-05-24 11:19:14.594672
22,14,2,0,2020-05-25 11:19:14.594672
42,131,4,18,2020-05-26 11:19:14.594672
15,92,3,8,2020-05-27 11:19:14.594672
46,122,2,2,2020-05-28 11:19:14.594672
14,72,2,6,2020-05-29 11:19:14.594672
24,154,2,9,2020-05-30 11:19:14.594672
35,153,1,0,2020-05-31 11:19:14.594672
10,146,4,9,2020-06-01 11:19:14.594672
14,91,1,8,2020-06-02 11:19:14.594672
3,16,4,14,2020-06-03 11:19:14.594672
20,42,2,14,2020-06-04 11:19:14.594672
12,120,3,2,2020-06-05 11:19:14.594672
21,40,5,4,2020-06-06 11:19:14.594672
18,169,5,8,2020-06-07 11:19:14.594672
33,177,2,8,2020-06-08 11:19:14.594672
13,167,1,6,2020-06-09 11:19:14.594672
3,38,3,11,2020-06-10 11:19:14.594672
47,112,4,8,2020-06-11 11:19:14.594672
45,150,2,5,2020-06-12 11:19:14.594672
26,110,3,1,2020-06-13 11:19:14.594672
28,179,3,8,2020-06-14 11:19:14.594672
46,46,4,16,2020-06-15 11:19:14.594672
27,62,3,0,2020-06-16 11:19:14.594672
34,109,1,18,2020-06-17 11:19:14.594672
7,68,1,5,2020-06-18 11:19:14.594672
15,42,1,4,2020-06-19 11:19:14.594672
41,175,3,1,2020-06-20 11:19:14.594672
35,33,1,8,2020-06-21 11:19:14.594672
29,39,4,13,2020-06-22 11:19:14.594672
17,60,3,3,2020-06-23 11:19:14.594672
1,177,5,3,2020-06-24 11:19:14.594672
48,194,3,14,2020-06-25 11:19:14.594672
12,61,4,7,2020-06-26 11:19:14.594672
3,57,5,3,2020-06-27 11:19:14.594672
25,160,3,15,2020-06-28 11:19:14.594672
24,74,1,3,2020-06-29 11:19:14.594672
29,15,2,15,2020-06-30 11:19:14.594672
10,81,2,11,2020-07-01 11:19:14.594672
6,93,1,15,2020-07-02 11:19:14.594672
30,47,2,18,2020-07-03 11:19:14.594672
43,137,2,7,2020-07-04 11:19:14.594672
9,81,1,5,2020-07-05 11:19:14.594672
38,37,1,9,2020-07-06 11:19:14.594672
12,126,3,4,2020-07-07 11:19:14.594672
30,18,3,17,2020-07-08 11:19:14.594672
6,163,1,9,2020-07-09 11:19:14.594672
48,186,4,9,2020-07-10 11:19:14.594672
41,62,2,6,2020-07-11 11:19:14.594672
41,76,3,17,2020-07-12 11:19:14.594672
35,173,2,0,2020-07-13 11:19:14.594672
19,130,5,6,2020-07-14 11:19:14.594672
3,101,1,0,2020-07-15 11:19:14.594672
6,64,4,14,2020-07-16 11:19:14.594672
0,119,5,3,2020-07-17 11:19:14.594672
43,90,5,19,2020-07-18 11:19:14.594672
44,7,5,9,2020-07-19 11:19:14.594672
41,178,1,8,2020-07-20 11:19:14.594672
46,72,3,1,2020-07-21 11:19:14.594672
12,133,1,13,2020-07-22 11:19:14.594672
21,106,3,15,2020-07-23 11:19:14.594672
20,88,5,0,2020-07-24 11:19:14.594672
21,38,5,1,2020-07-25 11:19:14.594672
27,112,4,6,2020-07-26 11:19:14.594672
8,187,3,9,2020-07-27 11:19:14.594672
25,27,5,19,2020-07-28 11:19:14.594672
8,96,2,0,2020-07-29 11:19:14.594672
14,181,4,12,2020-07-30 11:19:14.594672
9,36,1,0,2020-07-31 11:19:14.594672
23,136,4,4,2020-08-01 11:19:14.594672
41,81,2,15,2020-08-02 11:19:14.594672
7,55,3,14,2020-08-03 11:19:14.594672
23,186,1,16,2020-08-04 11:19:14.594672
15,84,1,15,2020-08-05 11:19:14.594672
48,1,3,12,2020-08-06 11:19:14.594672
25,188,4,10,2020-08-07 11:19:14.594672
26,57,5,16,2020-08-08 11:19:14.594672
36,106,4,16,2020-08-09 11:19:14.594672
3,122,2,1,2020-08-10 11:19:14.594672
49,187,5,12,2020-08-11 11:19:14.594672
23,167,4,13,2020-08-12 11:19:14.594672
18,163,3,10,2020-08-13 11:19:14.594672
35,113,2,9,2020-08-14 11:19:14.594672
38,106,2,2,2020-08-15 11:19:14.594672
9,36,2,16,2020-08-16 11:19:14.594672
24,78,5,14,2020-08-17 11:19:14.594672
17,91,1,8,2020-08-18 11:19:14.594672
18,17,5,9,2020-08-19 11:19:14.594672
35,97,4,7,2020-08-20 11:19:14.594672
9,62,1,12,2020-08-21 11:19:14.594672
32,149,4,17,2020-08-22 11:19:14.594672
49,138,1,4,2020-08-23 11:19:14.594672
4,185,5,5,2020-08-24 11:19:14.594672
46,184,2,16,2020-08-25 11:19:14.594672
48,3,3,10,2020-08-26 11:19:14.594672
34,134,2,19,2020-08-27 11:19:14.594672
43,60,5,15,2020-08-28 11:19:14.594672
33,106,1,8,2020-08-29 11:19:14.594672
32,53,2,1,2020-08-30 11:19:14.594672
20,87,5,4,2020-08-31 11:19:14.594672
16,67,4,0,2020-09-01 11:19:14.594672
21,128,3,3,2020-09-02 11:19:14.594672
47,54,2,3,2020-09-03 11:19:14.594672
36,2,1,2,2020-09-04 11:19:14.594672
14,165,4,8,2020-09-05 11:19:14.594672
34,120,5,11,2020-09-06 11:19:14.594672
27,128,3,9,2020-09-07 11:19:14.594672
6,101,1,1,2020-09-08 11:19:14.594672
31,37,5,10,2020-09-09 11:19:14.594672
10,84,5,9,2020-09-10 11:19:14.594672
9,156,2,5,2020-09-11 11:19:14.594672
8,132,2,17,2020-09-12 11:19:14.594672
13,91,1,1,2020-09-13 11:19:14.594672
12,20,5,1,2020-09-14 11:19:14.594672
24,198,2,9,2020-09-15 11:19:14.594672
1,194,3,15,2020-09-16 11:19:14.594672
34,108,3,11,2020-09-17 11:19:14.594672
6,46,5,0,2020-09-18 11:19:14.594672
20,83,2,7,2020-09-19 11:19:14.594672
17,82,1,15,2020-09-20 11:19:14.594672
2,34,1,17,2020-09-21 11:19:14.594672
41,195,1,12,2020-09-22 11:19:14.594672
38,68,3,14,2020-09-23 11:19:14.594672
40,128,2,11,2020-09-24 11:19:14.594672
48,195,2,7,2020-09-25 11:19:14.594672
10,139,3,9,2020-09-26 11:19:14.594672
38,187,1,13,2020-09-27 11:19:14.594672
23,26,1,4,2020-09-28 11:19:14.594672
45,55,5,17,2020-09-29 11:19:14.594672
18,22,4,18,2020-09-30 11:19:14.594672
3,152,2,14,2020-10-01 11:19:14.594672
25,20,2,5,2020-10-02 11:19:14.594672
37,60,2,10,2020-10-03 11:19:14.594672
41,62,4,10,2020-10-04 11:19:14.594672
31,121,5,19,2020-10-05 11:19:14.594672
38,51,4,19,2020-10-06 11:19:14.594672
44,87,1,17,2020-10-07 11:19:14.594672
45,152,1,17,2020-10-08 11:19:14.594672
35,54,2,9,2020-10-09 11:19:14.594672
39,45,3,1,2020-10-10 11:19:14.594672
36,31,2,8,2020-10-11 11:19:14.594672
32,54,3,13,2020-10-12 11:19:14.594672
35,95,4,18,2020-10-13 11:19:14.594672
2,132,1,9,2020-10-14 11:19:14.594672
8,35,3,3,2020-10-15 11:19:14.594672
7,109,4,5,2020-10-16 11:19:14.594672
32,176,1,13,2020-10-17 11:19:14.594672
5,105,3,3,2020-10-18 11:19:14.594672
40,57,2,14,2020-10-19 11:19:14.594672
38,38,2,15,2020-10-20 11:19:14.594672
3,79,2,6,2020-10-21 11:19:14.594672
12,96,4,16,2020-10-22 11:19:14.594672
48,112,2,18,2020-10-23 11:19:14.594672
1,60,5,18,2020-10-24 11:19:14.594672
4,136,1,16,2020-10-25 11:19:14.594672
43,5,4,5,2020-10-26 11:19:14.594672
26,108,2,10,2020-10-27 11:19:14.594672
31,34,1,15,2020-10-28 11:19:14.594672
20,38,3,7,2020-10-29 11:19:14.594672
7,149,2,10,2020-10-30 11:19:14.594672
37,168,1,6,2020-10-31 11:19:14.594672
7,117,5,18,2020-11-01 11:19:14.594672
49,4,3,9,2020-11-02 11:19:14.594672
2,169,5,8,2020-11-03 11:19:14.594672
43,86,1,3,2020-11-04 11:19:14.594672
2,75,5,14,2020-11-05 11:19:14.594672
21,194,1,12,2020-11-06 11:19:14.594672
5,157,1,1,2020-11-07 11:19:14.594672
1,56,5,1,2020-11-08 11:19:14.594672
22,126,1,15,2020-11-09 11:19:14.594672
43,28,2,8,2020-11-10 11:19:14.594672
1,164,1,12,2020-11-11 11:19:14.594672
37,86,4,2,2020-11-12 11:19:14.594672
16,140,1,8,2020-11-13 11:19:14.594672
34,159,4,12,2020-11-14 11:19:14.594672
33,45,1,1,2020-11-15 11:19:14.594672
22,115,1,7,2020-11-16 11:19:14.594672
29,111,5,8,2020-11-17 11:19:14.594672
7,150,2,15,2020-11-18 11:19:14.594672
21,44,2,1,2020-11-19 11:19:14.594672
43,144,3,5,2020-11-20 11:19:14.594672
35,103,5,7,2020-11-21 11:19:14.594672
4,84,5,4,2020-11-22 11:19:14.594672
12,193,2,8,2020-11-23 11:19:14.594672
28,133,5,0,2020-11-24 11:19:14.594672
30,107,2,8,2020-11-25 11:19:14.594672
46,17,5,9,2020-11-26 11:19:14.594672
15,93,1,3,2020-11-27 11:19:14.594672
41,149,2,2,2020-11-28 11:19:14.594672
29,32,2,9,2020-11-29 11:19:14.594672
15,157,4,14,2020-11-30 11:19:14.594672
11,125,5,10,2020-12-01 11:19:14.594672
16,159,5,13,2020-12-02 11:19:14.594672
15,169,2,5,2020-12-03 11:19:14.594672
11,121,1,11,2020-12-04 11:19:14.594672
7,137,1,12,2020-12-05 11:19:14.594672
19,114,1,16,2020-12-06 11:19:14.594672
2,163,5,15,2020-12-07 11:19:14.594672
15,161,4,2,2020-12-08 11:19:14.594672
29,27,2,1,2020-12-09 11:19:14.594672
44,10,3,10,2020-12-10 11:19:14.594672
22,166,4,8,2020-12-11 11:19:14.594672
27,46,3,2,2020-12-12 11:19:14.594672
39,126,4,17,2020-12-13 11:19:14.594672
4,146,1,19,2020-12-14 11:19:14.594672
19,117,5,14,2020-12-15 11:19:14.594672
39,142,3,13,2020-12-16 11:19:14.594672
43,125,4,1,2020-12-17 11:19:14.594672
0,155,5,16,2020-12-18 11:19:14.594672
29,151,3,7,2020-12-19 11:19:14.594672
20,71,2,9,2020-12-20 11:19:14.594672
19,106,4,17,2020-12-21 11:19:14.594672
5,136,2,18,2020-12-22 11:19:14.594672
21,174,1,7,2020-12-23 11:19:14.594672
17,32,2,7,2020-12-24 11:19:14.594672
7,189,2,2,2020-12-25 11:19:14.594672
38,18,4,2,2020-12-26 11:19:14.594672
31,194,1,11,2020-12-27 11:19:14.594672
32,73,2,16,2020-12-28 11:19:14.594672
15,167,5,3,2020-12-29 11:19:14.594672
11,174,3,16,2020-12-30 11:19:14.594672
37,192,2,13,2020-12-31 11:19:14.594672
33,156,1,18,2021-01-01 11:19:14.594672
13,177,2,8,2021-01-02 11:19:14.594672
35,97,3,11,2021-01-03 11:19:14.594672
32,140,1,4,2021-01-04 11:19:14.594672
22,128,4,10,2021-01-05 11:19:14.594672
49,161,1,19,2021-01-06 11:19:14.594672
44,92,4,2,2021-01-07 11:19:14.594672
1,175,1,14,2021-01-08 11:19:14.594672
40,47,3,13,2021-01-09 11:19:14.594672
20,176,3,10,2021-01-10 11:19:14.594672
1,63,1,19,2021-01-11 11:19:14.594672
26,60,2,7,2021-01-12 11:19:14.594672
8,156,3,3,2021-01-13 11:19:14.594672
0,38,4,11,2021-01-14 11:19:14.594672
10,127,4,7,2021-01-15 11:19:14.594672
2,87,5,5,2021-01-16 11:19:14.594672
22,25,4,14,2021-01-17 11:19:14.594672
25,16,5,11,2021-01-18 11:19:14.594672
3,70,1,15,2021-01-19 11:19:14.594672
17,12,1,15,2021-01-20 11:19:14.594672
5,68,1,19,2021-01-21 11:19:14.594672
34,25,2,19,2021-01-22 11:19:14.594672
21,48,2,3,2021-01-23 11:19:14.594672
42,194,5,10,2021-01-24 11:19:14.594672
14,6,4,12,2021-01-25 11:19:14.594672
21,57,4,8,2021-01-26 11:19:14.594672
36,48,1,3,2021-01-27 11:19:14.594672
41,102,3,11,2021-01-28 11:19:14.594672
11,52,2,8,2021-01-29 11:19:14.594672
46,192,2,12,2021-01-30 11:19:14.594672
48,61,1,15,2021-01-31 11:19:14.594672
41,16,2,5,2021-02-01 11:19:14.594672
37,170,1,9,2021-02-02 11:19:14.594672
17,24,5,12,2021-02-03 11:19:14.594672
44,130,4,6,2021-02-04 11:19:14.594672
34,28,3,18,2021-02-05 11:19:14.594672
29,116,4,18,2021-02-06 11:19:14.594672
23,159,4,16,2021-02-07 11:19:14.594672
41,25,5,12,2021-02-08 11:19:14.594672
29,123,2,12,2021-02-09 11:19:14.594672
13,143,3,1,2021-02-10 11:19:14.594672
5,24,2,9,2021-02-11 11:19:14.594672
2,53,4,12,2021-02-12 11:19:14.594672
15,155,1,8,2021-02-13 11:19:14.594672
6,72,4,0,2021-02-14 11:19:14.594672
13,119,2,13,2021-02-15 11:19:14.594672
8,55,4,15,2021-02-16 11:19:14.594672
14,64,1,19,2021-02-17 11:19:14.594672
20,92,5,14,2021-02-18 11:19:14.594672
34,85,2,0,2021-02-19 11:19:14.594672
1,79,4,16,2021-02-20 11:19:14.594672
26,168,2,12,2021-02-21 11:19:14.594672
1,107,5,14,2021-02-22 11:19:14.594672
34,178,4,15,2021-02-23 11:19:14.594672
17,117,4,15,2021-02-24 11:19:14.594672
13,198,2,1,2021-02-25 11:19:14.594672
19,156,2,16,2021-02-26 11:19:14.594672
17,82,1,10,2021-02-27 11:19:14.594672
