skill_id,skill_name,category,popularity_score,growth_rate,difficulty_score,learning_hours,average_salary,demand_trend
53,Leadership,DevOps,0.6158500980522165,0.043265087213136204,0.8995745732745685,129,87788,Low
54,PyTorch,DevOps,0.6350936508676438,-0.0545769631201484,0.3838912213732114,68,129346,High
55,Azure,Cloud,0.04530400977204452,0.16862927823711985,0.5435528611139886,224,156122,High
56,Communication,DevOps,0.3746126146264712,0.10812308036151733,0.9064721109645469,137,99974,Low
57,Computer Vision,Cloud,0.6258599157142364,0.20892735669425574,0.6242379959139921,233,167309,Low
58,Communication,Data Engineering,0.5031362585800877,0.10806540044479736,0.11689804070836407,218,76371,High
59,Airflow,Cloud,0.8564898411883223,0.24087260012741607,0.9398321236134751,379,105084,Medium
60,Machine Learning,Cloud,0.658693631618945,0.12076273550979422,0.6277080530714179,124,121916,Medium
61,MLflow,DevOps,0.1629344270814297,0.12437518861415452,0.3349056146570861,218,133972,Low
62,Spark,DevOps,0.07056874740042984,0.25066144106333804,0.13927207266338726,23,72984,Medium
63,Deep Learning,ML/AI,0.6424192782063156,0.06139314648495882,0.794025189270296,18,93039,High
64,Kubernetes,ML/AI,0.026511310541621813,-0.04639390861974371,0.6200727559285135,49,145431,Low
65,NLP,Data Engineering,0.5857755812734633,-0.08848692947466441,0.5334610919763215,459,143691,High
66,Spark,ML/AI,0.9402302414249576,0.2020549022694476,0.8938925830509576,246,118606,High
67,Data Science,Cloud,0.575474177875879,0.14812382054138587,0.7885972112245307,290,162665,Medium
68,PyTorch,DevOps,0.3881699262065219,0.18163190723968944,0.15167487973275118,368,165373,Low
69,AWS,ML/AI,0.6432882184423532,-0.014814335396435709,0.31172206779554823,210,84574,Low
70,SQL,ML/AI,0.45825289049151663,-0.0454514097652921,0.24848913981446574,255,194502,Medium
71,Azure,Data Engineering,0.5456167893159349,-0.09418213373284723,0.743946292572677,287,92733,High
72,NLP,Data Engineering,0.9414648087765252,0.040235023522638795,0.03353243473577938,244,62050,High
73,SQL,Cloud,0.38610263780077425,0.13596707474185324,0.5698896848713165,13,169996,High
74,Machine Learning,DevOps,0.9611905638239142,0.05689761803989293,0.7624586857406905,163,93933,High
75,Cloud Computing,Data Engineering,0.9053506419560637,0.07498996880949163,0.8767656367617495,451,84951,Low
76,Git,ML/AI,0.19579113478929644,0.2616634777974994,0.34208174871590746,38,92413,Low
77,DevOps,DevOps,0.06936130087516545,0.03930218680932014,0.8212573046720129,118,172573,Medium
78,SQL,DevOps,0.10077800137742665,0.10559579566392432,0.11063173695520723,107,195566,Medium
79,Git,ML/AI,0.018221825651549728,0.21346120509645725,0.8464522917345182,224,182744,Low
80,Azure,Data Engineering,0.0944429607559284,0.05861711292850807,0.12748866233198242,302,149431,Low
81,Communication,ML/AI,0.6830067734163568,0.1488346800911494,0.39728729056036727,84,103001,High
82,Kubernetes,DevOps,0.07118864846022899,0.24494548349869807,0.7972953657795536,335,127364,High
83,Machine Learning,Soft Skills,0.3189756302937613,0.2798082494630569,0.14991742734877378,155,184988,Medium
84,DevOps,Soft Skills,0.8448753109694546,-0.04117060762838483,0.22925139523264149,137,105028,Low
85,SQL,Cloud,0.023271935735825866,0.27063505006459776,0.7222525683930663,350,191878,Medium
86,PyTorch,ML/AI,0.8144684825889358,0.09684651723181528,0.7200365365460744,51,184343,Low
87,Hadoop,ML/AI,0.28185477477339993,0.00329775531958334,0.6411476328852973,365,188301,High
88,Spark,Cloud,0.11816482762165625,0.08365430249530453,0.6939484444671,50,186295,Medium
89,NLP,Cloud,0.6967371653641506,0.29201303011419083,0.5427244433475962,431,94636,Medium
90,PyTorch,Cloud,0.628942846779884,0.09704723759714784,0.25179905890695276,43,84262,Low
91,Agile,DevOps,0.877472013527053,0.031500644115003286,0.34569599350391944,26,140435,High
92,Leadership,ML/AI,0.7350710438038858,0.15336034172669033,0.18159771680142567,174,188583,Medium
93,NLP,DevOps,0.8034809303848486,-0.003941752488722772,0.9084505613336283,162,101844,High
94,Airflow,Cloud,0.2820345725713065,-0.06965466875653444,0.5833917947661205,495,124754,Medium
95,Hadoop,ML/AI,0.17743954377972282,-0.04844811123574031,0.4008514167636399,387,137129,High
96,TensorFlow,DevOps,0.7506147516408583,-0.048781664416891024,0.4620058036441327,85,100042,Low
97,Azure,DevOps,0.806834739267264,-0.039238922595082264,0.9472833396118153,96,121665,Medium
98,Spark,Cloud,0.9905051420006733,-0.04446913094023595,0.1533514031160802,126,176953,Medium
99,Airflow,ML/AI,0.4126176769114265,0.15634989792128584,0.5862298320167972,371,178533,High
100,Scrum,Cloud,0.37201808579278317,-0.02724796624034207,0.505888678884466,351,133781,High
101,Communication,ML/AI,0.7764129607419968,0.038266913329545287,0.6114542354346478,478,126262,Medium
102,Leadership,Soft Skills,0.34080354025301784,0.25871536396240474,0.01811018382084051,36,106600,Low
103,TensorFlow,Data Engineering,0.9307573256035647,0.08958465610514894,0.8721239089441515,322,136898,High
104,Computer Vision,Data Engineering,0.8584127518430118,0.16702309540841087,0.9321182824836124,296,90448,High
105,Spark,Data Engineering,0.42899402737501835,-0.031072051519348068,0.5651331835892089,143,86172,High
106,TensorFlow,Cloud,0.7508710677914974,-0.02308439247653169,0.6966508238768923,228,67657,Medium
107,Python,Soft Skills,0.7545428740846823,-0.08365255349340846,0.9224993811772957,177,172855,Medium
108,Leadership,ML/AI,0.10312386883593261,-0.03242597477113418,0.7072386343133986,107,67906,Medium
109,Deep Learning,DevOps,0.9025529066795667,0.011436135612783449,0.15253904291426135,277,121413,Medium
110,Computer Vision,ML/AI,0.5052523724478571,-0.029195806289301275,0.5762883601668132,246,114028,Low
111,Scrum,DevOps,0.8264574661077416,-0.06451898649717776,0.6067150463828559,318,67287,Low
112,Python,ML/AI,0.32004960103061175,-0.05174565155975968,0.424130671302386,464,93660,Medium
113,Kubernetes,Soft Skills,0.8955232284962005,0.08431150721309032,0.7364442356247228,403,120504,Low
114,NLP,DevOps,0.3892016787341631,-0.017466512637682997,0.9343670147690148,182,162979,High
115,Scrum,Cloud,0.01083765148029836,0.045707944419230186,0.9255685129067763,410,94701,High
116,Docker,ML/AI,0.9053819764192637,0.10136690834194276,0.4508393714041321,419,143300,High
117,GCP,ML/AI,0.09128667678613356,0.17615793145174613,0.11323804584075525,478,143560,Medium
118,AWS,DevOps,0.31931363759041487,-0.08427514406356043,0.9848411989623346,485,103642,High
119,NLP,Cloud,0.9500619670508049,0.21976415956361706,0.8388980864459341,199,125160,Low
120,Data Science,Cloud,0.9506071469375561,0.1511601557963631,0.12466268120326685,131,77602,Medium
121,Data Science,Soft Skills,0.5734378881232861,-0.06729638722045124,0.9208418826173723,55,163320,Low
122,Python,Cloud,0.6318372121697993,0.2494314496427109,0.8698963620621283,73,148801,High
123,Problem Solving,Cloud,0.44844552197831977,0.2683489602127253,0.5188380571260721,139,85931,High
124,Big Data,Cloud,0.29321077169806453,-0.0755688160580545,0.5912754357449292,319,154377,High
125,DevOps,Data Engineering,0.32866454536991596,0.010751059258881491,0.39900270387013026,372,89192,Medium
126,Deep Learning,Soft Skills,0.6725184560770384,0.22248051191722454,0.05476163882203133,202,106542,Low
127,Communication,ML/AI,0.75237452943768,0.19930387615346334,0.3351972416459009,316,187015,Medium
128,Computer Vision,DevOps,0.7915790437258485,-0.026191592257449072,0.8028534485980114,190,102520,Medium
129,Deep Learning,ML/AI,0.7896181427945539,-0.01626027066531588,0.004632023004602859,301,124772,High
130,Computer Vision,Soft Skills,0.09120610304869037,0.0481888411165528,0.3334991716911442,380,110106,Medium
131,NLP,DevOps,0.49442030470258147,0.09380919407640853,0.3981686935909433,291,141121,Medium
132,Kubernetes,Soft Skills,0.057558760016644284,0.1473019086121184,0.5373956029379229,38,85559,High
133,Machine Learning,Cloud,0.5495288823237355,0.04756545582790897,0.9198556164127605,158,165595,Medium
134,Python,DevOps,0.441530501373377,0.08501388645325916,0.34634599436596125,276,93742,High
135,Hadoop,Cloud,0.8877041827582998,0.19898837525350263,0.3469532018962277,305,129669,High
136,Agile,ML/AI,0.3509150125520787,-0.08532671884376085,0.7375012481097484,20,195044,High
137,Agile,ML/AI,0.11706701642760586,0.0009747777376083012,0.45221794088980716,173,130831,High
138,Scrum,DevOps,0.14299168205283586,0.18533983435382098,0.22460482293998196,122,172217,Medium
139,Big Data,DevOps,0.7615106317174722,0.2580827350748797,0.4524395161326934,196,101873,High
140,Data Science,Soft Skills,0.6182180633162611,0.10467097684626646,0.14085702037979986,304,166532,High
141,Kubernetes,Soft Skills,0.10112267612279024,0.11284539410612626,0.1763869865062233,241,186267,Medium
142,NLP,Cloud,0.08410680611499743,-0.05713119546408958,0.49836777273947974,236,194092,Medium
143,Git,DevOps,0.70096913145912,0.07896494672938187,0.4189254495045479,319,101755,Low
144,Problem Solving,ML/AI,0.07276300636419353,0.11304690658200928,0.9148459010681,107,145956,Medium
145,Data Science,Soft Skills,0.8218600592903562,-0.0030117985461081357,0.3623938991166331,64,146988,Medium
146,Python,Soft Skills,0.7062422271564962,0.0076972923797523855,0.5805883502780435,120,105648,Low
147,Data Science,ML/AI,0.08134878064189976,0.050913665241849065,0.6322642879195304,161,185991,Medium
148,Big Data,Soft Skills,0.08483771408519192,-0.09197152088890946,0.013094456588333636,255,175005,Medium
149,Spark,Cloud,0.9866395785011755,0.028831666233271314,0.6635373720167106,415,62396,Medium
150,PyTorch,DevOps,0.3742707957561203,-0.015420797201382142,0.17803596686975143,78,144082,Medium
151,Data Science,ML/AI,0.3706421470668909,0.03099894087116586,0.9610703174694551,321,188322,Low
152,Python,DevOps,0.8127995672575026,-0.05209514727229952,0.14866272775311296,298,192663,Medium
153,Big Data,Soft Skills,0.9472485773838587,0.256210912295958,0.41462412372702373,259,71303,Medium
154,Communication,Soft Skills,0.9860010638228709,0.13743698142161948,0.08534966807864386,45,131719,Low
155,Agile,ML/AI,0.7533781852589416,0.17164092765779584,0.9968742518459474,248,159616,High
156,PyTorch,Cloud,0.37625958553091576,0.21566849544293532,0.5021950103312426,157,184165,Low
157,Deep Learning,Data Engineering,0.08350071669866876,0.09937687957162292,0.5953850173200438,476,146231,High
158,Problem Solving,ML/AI,0.7771469159274368,-0.06523188476503053,0.06707647738842748,236,67314,Low
159,Computer Vision,Data Engineering,0.558404249735805,0.11484261672741912,0.7499604703991778,253,79623,Low
160,Spark,Data Engineering,0.4242220092469763,0.13473644720835165,0.20990559309558576,346,165228,Medium
161,Spark,Cloud,0.906354385094736,0.198175789673732,0.8980542894407137,455,157624,High
162,Communication,Data Engineering,0.11119748230615134,0.07266381849187176,0.20513964048200717,374,171785,Medium
163,DevOps,Data Engineering,0.49262510429085915,-0.0489678788817745,0.19068772066366657,491,146206,High
164,TensorFlow,Cloud,0.011353644767419069,0.013510362319489789,0.03654966784809488,210,129274,Low
165,GCP,Data Engineering,0.46866064199412627,0.04523291855945404,0.47206694510999925,163,193541,Low
166,Deep Learning,Data Engineering,0.05630327568183735,0.1583668965326405,0.5648411332626164,459,113947,High
167,AWS,Data Engineering,0.11881791626807192,0.12831132186756475,0.06570863942835237,82,108874,Medium
168,MLflow,ML/AI,0.11752624677710488,0.0424386903591385,0.7755276166950106,210,109708,Medium
169,SQL,ML/AI,0.6492103021160636,0.2946060995171919,0.4532888347480276,305,134553,Medium
170,Big Data,ML/AI,0.7460448792654233,0.14230992774275486,0.52439026932758,26,128344,Medium
171,Agile,Cloud,0.5833687650971596,-0.0051092833056022085,0.44076274693822814,138,109138,Low
172,Deep Learning,Soft Skills,0.9621725484745419,-0.059287010951838505,0.400763060875326,226,107638,Low
173,TensorFlow,Data Engineering,0.37487057952370406,-0.038856344326267195,0.5596403313082179,70,138249,Low
174,Spark,Data Engineering,0.28571208628186073,-0.0016169086461967465,0.1552402459307125,436,165865,Low
175,Docker,Cloud,0.8685991281894603,-0.035727450696177734,0.18192813049527112,113,62719,Low
176,SQL,Data Engineering,0.22359583851945264,-0.025373190379477696,0.8617856210135173,51,102534,Medium
177,TensorFlow,ML/AI,0.9632225394406113,0.014038067477538841,0.9461154621336327,34,152241,Medium
178,Deep Learning,Soft Skills,0.012154474689816341,-0.03065056188209807,0.37330931627975295,48,186209,Medium
179,Problem Solving,DevOps,0.969878826707639,0.2587061698505701,0.27074467314355377,300,152124,Medium
180,GCP,Data Engineering,0.04315991195057611,-0.06790650173534311,0.6439995432390158,140,151659,Low
181,Git,ML/AI,0.8911431136980711,0.10980455582810188,0.4087341710980964,238,135713,Low
182,Machine Learning,DevOps,0.5277011090862999,0.06415873079586461,0.02538635566034486,117,135418,Low
183,DevOps,Soft Skills,0.9929647961193003,0.2929514467634426,0.15615259736619036,181,188232,High
184,TensorFlow,DevOps,0.07379656473539886,-0.05518443913277907,0.7159722288473975,444,91575,Medium
185,Leadership,ML/AI,0.5538542844013208,0.059142239618296656,0.6589239419101514,487,123852,Medium
186,Airflow,DevOps,0.969302535619099,0.28778817331014755,0.02709599250348349,111,192079,Low
187,Cloud Computing,Cloud,0.5230978441701488,0.24620285035759212,0.22197216193294944,363,136242,Medium
188,Kubernetes,DevOps,0.6293986381352625,0.22682882837971197,0.2310747965880714,21,89257,Medium
189,Kubernetes,Data Engineering,0.6957486889846172,0.0031611308179759325,0.6718927435987284,284,121246,Low
190,MLflow,Data Engineering,0.45454106476777323,-0.031644965043973676,0.019710537754364155,110,61435,High
191,Docker,Cloud,0.6275580800840634,0.1674572879697724,0.10410858198457384,53,151357,High
192,Communication,ML/AI,0.5843143119231002,0.2717503956510343,0.7999160853731894,452,196156,High
193,Agile,Data Engineering,0.901158010490989,0.12270515720557192,0.1785446620543336,314,143807,Low
194,Leadership,Soft Skills,0.04544638034145787,0.12864507578795994,0.6527461078518747,454,175953,Medium
195,Deep Learning,Data Engineering,0.2809631895922303,0.01199163746411367,0.23818278104672652,26,198563,Low
196,Python,Data Engineering,0.9504114840765587,0.20779717327677477,0.09944139275934516,339,183797,Low
197,Python,ML/AI,0.8902637838909163,-0.025182500576990653,0.24317219099945409,66,123888,Medium
198,Leadership,DevOps,0.45565675278571294,0.029471694561697473,0.7222669318556592,320,133609,High
199,Problem Solving,Data Engineering,0.6201325978015367,0.07017457544656672,0.8556964681062857,312,69077,High
