# Synthetic SKU demand data for hierarchical forecasting
# Generated for data science portfolio apps
# Columns: week, department, product_group, sku, quantity_sold, unit_price, discount_pct, revenue, inventory_level, is_holiday
week,department,product_group,sku,quantity_sold,unit_price,discount_pct,revenue,inventory_level,is_holiday
7,Home,Kitchen Kits,KIT-002,55,199.99,10,9799.45,28,true
8,Electronics,Laptops,LAP-001,62,1299.99,0,80599.38,28,false
8,Electronics,Laptops,LAP-002,55,899.99,10,44499.48,24,false
8,Electronics,Tablets,TAB-001,88,599.99,0,52799.12,42,false
8,Electronics,Tablets,TAB-002,72,449.99,10,29399.35,32,false
8,Apparel,T-Shirts,TSH-BLK-M,172,29.99,0,5158.28,115,false
8,Apparel,T-Shirts,TSH-WHT-L,128,29.99,0,3838.72,98,false
8,Apparel,Jeans,JNS-BLU-32,102,79.99,10,7359.08,65,false
8,Apparel,Jeans,JNS-BLK-34,88,79.99,0,6799.12,52,false
8,Home,Kitchen Kits,KIT-001,62,149.99,5,8324.42,32,false
8,Home,Kitchen Kits,KIT-002,50,199.99,0,9999.50,26,false
9,Electronics,Laptops,LAP-001,68,1299.99,5,83249.32,25,false
9,Electronics,Laptops,LAP-002,60,899.99,0,53999.40,22,false
9,Electronics,Tablets,TAB-001,92,599.99,10,49399.08,40,false
9,Electronics,Tablets,TAB-002,75,449.99,0,33749.25,30,false
9,Apparel,T-Shirts,TSH-BLK-M,178,29.99,10,4798.22,108,false
9,Apparel,T-Shirts,TSH-WHT-L,132,29.99,0,3958.68,92,false
9,Apparel,Jeans,JNS-BLU-32,105,79.99,0,8398.95,62,false
9,Apparel,Jeans,JNS-BLK-34,90,79.99,10,6479.10,50,false
9,Home,Kitchen Kits,KIT-001,65,149.99,0,9749.35,30,false
9,Home,Kitchen Kits,KIT-002,52,199.99,10,9399.48,24,false
10,Electronics,Laptops,LAP-001,72,1299.99,10,87299.28,22,false
10,Electronics,Laptops,LAP-002,65,899.99,0,58499.35,20,false
10,Electronics,Tablets,TAB-001,98,599.99,0,58798.98,38,false
10,Electronics,Tablets,TAB-002,80,449.99,10,31499.20,28,false
10,Apparel,T-Shirts,TSH-BLK-M,188,29.99,0,5638.12,100,false
10,Apparel,T-Shirts,TSH-WHT-L,140,29.99,5,3823.63,88,false
10,Apparel,Jeans,JNS-BLU-32,112,79.99,10,8039.00,58,false
10,Apparel,Jeans,JNS-BLK-34,95,79.99,0,7599.05,48,false
10,Home,Kitchen Kits,KIT-001,70,149.99,10,9449.30,28,false
10,Home,Kitchen Kits,KIT-002,55,199.99,0,10999.45,22,false
11,Electronics,Laptops,LAP-001,75,1299.99,0,97499.25,20,true
11,Electronics,Laptops,LAP-002,68,899.99,10,52699.32,18,true
11,Electronics,Tablets,TAB-001,102,599.99,15,54748.95,35,true
11,Electronics,Tablets,TAB-002,85,449.99,0,38249.15,25,true
11,Apparel,T-Shirts,TSH-BLK-M,195,29.99,0,5848.05,95,true
11,Apparel,T-Shirts,TSH-WHT-L,145,29.99,10,3873.68,82,true
11,Apparel,Jeans,JNS-BLU-32,118,79.99,0,9438.82,55,true
11,Apparel,Jeans,JNS-BLK-34,98,79.99,10,7039.02,45,true
11,Home,Kitchen Kits,KIT-001,75,149.99,0,11249.25,25,true
11,Home,Kitchen Kits,KIT-002,58,199.99,10,10399.38,20,true
12,Electronics,Laptops,LAP-001,80,1299.99,15,97499.20,18,false
12,Electronics,Laptops,LAP-002,72,899.99,0,62399.28,16,false
12,Electronics,Tablets,TAB-001,108,599.99,0,64798.92,32,false
12,Electronics,Tablets,TAB-002,88,449.99,10,34799.12,24,false
12,Apparel,T-Shirts,TSH-BLK-M,205,29.99,0,6147.95,88,false
12,Apparel,T-Shirts,TSH-WHT-L,152,29.99,0,4558.48,78,false
12,Apparel,Jeans,JNS-BLU-32,125,79.99,5,9048.75,52,false
12,Apparel,Jeans,JNS-BLK-34,105,79.99,0,8398.95,42,false
12,Home,Kitchen Kits,KIT-001,78,149.99,10,10499.22,24,false
12,Home,Kitchen Kits,KIT-002,60,199.99,0,11999.40,20,false
